"","V1","C_AICC","T0","Tm","c","bAICC","Snl_B0","Snl_E","Snl_E_h","Snl_T_h","Snl_AICC","Snl_Converge","Snh_B0","Snh_E","Snh_E_l","Snh_T_l","Snh_AICC","Snh_Converge","Full_B0","Full_E_h","Full_E_l","Full_E","Full_T_l","Full_T_h","Full_AICC","Full_Converge","Sample_size"
"842","MTD5076",144.738281026441,20,40,0.204761284208488,177.432724966547,0.0159195788760931,2.28079495403638,2.93677644756233,318.15,163.443453416672,1,1024.97418270243,0,-1.63959741032314,310.402623003225,173.80668823383,1,4063.48945147584,1.40161107386329,-1.63959741032314,0.124266349942754,327.1329,318.15,191.620585034036,1,10
"843","MTD5077",130.862281915272,20,40,0.32921741960187,162.986585468068,0.0727006418960505,2.03151342971812,2.97210239800507,318.15,148.582348907701,1,1100.08521861792,0,-1.65243953459161,308.330342006993,161.308198330312,0.95,2152.08583655547,1.68024425043801,-1.65243953459161,0.218837394226487,323.1762,318.15,182.15880955706,1,9
"844","MTD608",-83.2595081397758,0,21.0021137034532,0.00103791452447134,3.57760805755037,0.271429147997852,0.435151025603282,0.599982608640825,318.15,-48.5296226906923,0.9,0.702661306721219,0.144467631546825,-0.485909426563473,285.867358214776,-51.1653329193473,0.9,0.714955113909715,0.452948893653135,-0.485909426563473,0.199666216790207,285.723655163362,318.15,-33.5965912766708,0.85,21
"845","MTD2071",-14.0941695194905,12.4432748121671,32.2484175007469,0.000159876039303518,-21.6976247841194,0.00287760345033799,1.53348468545223,4.28762864697741,300.276289667212,-23.1760726123674,0.9,0.120424257985756,0,-1.1786086901058,286.250016939935,2.21630264549206,1,0.0482755546141567,3.66426630182544,-1.1786086901058,0.755637778639976,298.15,299.625074858548,22.9132218960538,1,7
"846","MTD2079",-42.8628013582319,0,35.0305372558208,8.78078560633955e-05,-31.7125104848729,0.0265977189478994,0.841811706662832,2.35297926419852,300.65,-32.1697381275926,1,0.158509959288812,0,-1.56664774073948,286.224662566018,-19.3993724292061,0.95,0.173523775094024,1.53399736354481,-1.56664774073948,0.240730473156589,290.588366275386,300.65,-6.24010021219129,0.85,11
"847","MTD2081",-35.6552507520106,0,35.0182056212792,8.41880070578663e-05,-28.6632681916084,0.0242935286841775,0.8665566094063,2.63572512680671,300.65,-30.9139377994652,0.95,0.151842151185126,0,-1.421042929386,285.875339911532,-16.3132394538345,0.95,0.105852784281742,2.02868350919731,-1.421042929386,0.398545578364524,289.221259490731,300.65,-2.5768141211917,0.85,11
"848","MTD2083",-38.3133950412469,0,35.9336387744696,9.45352860740158e-05,-32.5517012805768,0.0437994856923952,0.632535777051345,1.81675196564779,303.15,-25.2919217123155,0.85,0.238527880084232,0,-0.511039892393601,287.090256158256,-15.2988942637592,0.9,0.0652167690470776,1.74940477253477,-0.511039892393601,0.53616511195409,273.15,303.15,9.68697330573421,0.95,10
"849","MTD2100",21.7346975647174,3.54050436504044,36.1768795618145,0.00256168277290258,-0.5865644104281,0.539314601262035,0.848900575893866,2.41786019768364,303.15,27.2246483909149,1,4.74299649945111,0,-1.10537888472834,289.118145368577,44.1882224620511,0.85,2.14877668979145,2.29418315018158,-1.10537888472834,0.393416613202646,288.156762094771,305.086988298739,65.7788505705203,0.9,7
"850","MTD2139",23.9427427448152,0,31.4655173052044,0.00167194633726639,12.1081375622828,0.511726717511993,0.703612943399522,43.5279568971239,297.375043807501,19.075301308806,0.95,2.49183717558142,0.238754748882859,-0.595233327078774,292.485690667307,25.9962334176297,0.95,0.777335035985513,19.6551048672054,-0.595233327078774,0.584413429162659,273.15,297.642551676605,69.9386694736975,0.55,6
"851","MTD2140",-74.6462008710086,17.9101394045835,32.1921481414058,1.85619371474481e-05,-80.2204931346569,2.01211730394607e-05,2.22872680612419,5.95902282870121,301.15,-78.8345319135486,1,0.00914376281113823,0,-2.56652567845001,294.439639296554,-56.7802410337983,1,0.00024352301338624,5.63153979978768,-2.56652567845001,1.40225717263882,293.640715313638,301.693765156424,-42.612605252486,1,9
"852","MTD2154",4.14675504951408,9.87680990167974,31.5860078953625,0.00190830451867486,-3.74731603398448,0.0922066172987623,1.31183380729502,2.40002443007093,298.407235850298,6.02547450618361,0.8,2.57958092356655,0.0269343095447468,-0.940100486238681,295.216447919508,28.1639215316565,1,0.412077347260611,2.21296351615184,-0.940100486238681,0.795866189843586,289.241885107626,299.396690771645,55.4410668559325,0.95,6
